Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Peter Gentzel,Sweden,2000,Handball,0,1,0,1
Rafael Guijosa,Spain,2000,Handball,0,0,1,1
Beatrix Kökény,Hungary,2000,Handball,0,1,0,1
Vasily Kudinov,Russia,2000,Handball,1,0,0,1
Enric Massip,Spain,2000,Handball,0,0,1,1
Jordi Nuñez,Spain,2000,Handball,0,0,1,1
Alberto Urdiales,Spain,2000,Handball,0,0,1,1
Leszek Blanik,Poland,2008,Gymnastics,1,0,0,1
José Corona,Mexico,2012,Football,1,0,0,1
Kelly Parker,Canada,2012,Football,0,0,1,1
Shannon Boxx,United States,2008,Football,1,0,0,1
Maycon,Brazil,2008,Football,0,1,0,1
Sandra Smisek,Germany,2008,Football,0,0,1,1
Kate Sobrero-Markgraf,United States,2008,Football,1,0,0,1
Roberto Ayala,Argentina,2004,Football,1,0,0,1
Steffi Jones,Germany,2004,Football,0,0,1,1
Sandra Minnert,Germany,2004,Football,0,0,1,1
Doris Fitschen,Germany,2000,Football,0,0,1,1
Hege Riise,Norway,2000,Football,1,0,0,1
Shen Xue,China,2010,Figure Skating,1,0,0,1
Olena Hrushyna,Ukraine,2006,Figure Skating,0,0,1,1
Alisa Camplin,Australia,2006,Freestyle Skiing,0,0,1,1
Jeong Gil-Ok,South Korea,2012,Fencing,0,0,1,1
Li Na,China,2012,Fencing,1,0,0,1
Florin Zalomir,Romania,2012,Fencing,0,1,0,1
Jérôme Jeannet,France,2008,Fencing,1,0,0,1
Hugues Obry,France,2004,Fencing,1,0,0,1
Luigi Tarantino,Italy,2004,Fencing,0,1,0,1
Oksana Yermakova,Russia,2004,Fencing,1,0,0,1
Sabine Bau,Germany,2000,Fencing,0,0,1,1
Zara Phillips,Great Britain,2012,Equestrian,0,1,0,1
Jonelle Richards,New Zealand,2012,Equestrian,0,0,1,1
Megan Jones,Australia,2008,Equestrian,0,1,0,1
Imke Schellekens-Bartels,Netherlands,2008,Equestrian,0,1,0,1
Rodrigo Pessoa,Brazil,2004,Equestrian,1,0,0,1
Khaled Al-Eid,Saudi Arabia,2000,Equestrian,0,0,1,1
Pippa Funnell,Great Britain,2000,Equestrian,0,1,0,1
Irina Lashko,Australia,2004,Diving,0,0,1,1
Teun Mulder,Netherlands,2012,Cycling,0,0,1,1
Leire Olaberria,Spain,2008,Cycling,0,0,1,1
Jean-Christophe Péraud,France,2008,Cycling,0,1,0,1
Gunn Rita Dahle-Flesjå,Norway,2004,Cycling,1,0,0,1
Dede Demet-Barry,United States,2004,Cycling,0,1,0,1
Laurent Gané,France,2004,Cycling,0,0,1,1
Stuart O'Grady,Australia,2004,Cycling,1,0,0,1
Antonella Bellutti,Italy,2000,Cycling,1,0,0,1
Sean Eadie,Australia,2000,Cycling,0,0,1,1
Oksana Grishina,Russia,2000,Cycling,0,1,0,1
Joan Llaneras,Spain,2000,Cycling,1,0,0,1
Paola Pezzo,Italy,2000,Cycling,1,0,0,1
Olga Slyusareva,Russia,2000,Cycling,0,0,1,1
Bryan Steel,Great Britain,2000,Cycling,0,0,1,1
Marco Villa,Italy,2000,Cycling,0,0,1,1
John Morris,Canada,2010,Curling,1,0,0,1
Wille Mäkelä,Finland,2006,Curling,0,1,0,1
Andi Schwaller,Switzerland,2002,Curling,0,0,1,1
Martin Koukal,Czech Republic,2010,Cross Country Skiing,0,0,1,1
Riitta-Liisa Lassila-Roponen,Finland,2010,Cross Country Skiing,0,0,1,1
Beckie Scott,Canada,2006,Cross Country Skiing,0,1,0,1
René Sommerfeldt,Germany,2006,Cross Country Skiing,0,1,0,1
Brigitte Albrecht-Loretan,Switzerland,2002,Cross Country Skiing,0,0,1,1
Fabio Maj,Italy,2002,Cross Country Skiing,0,1,0,1
Roman Petrushenko,Belarus,2012,Canoeing,0,1,0,1
Jan Šterba,Czech Republic,2012,Canoeing,0,0,1,1
Meng Guanliang,China,2008,Canoeing,1,0,0,1
Michal Riszdorfer,Slovakia,2008,Canoeing,0,1,0,1
Mark Zabel,Germany,2004,Canoeing,0,1,0,1
Katrin Borchert,Australia,2000,Canoeing,0,0,1,1
Caroline Brunet,Canada,2000,Canoeing,0,1,0,1
Ferenc Novák,Hungary,2000,Canoeing,1,0,0,1
Antonio Rossi,Italy,2000,Canoeing,1,0,0,1
Andrew Trim,Australia,2000,Canoeing,0,1,0,1
Jeremy Cummings,United States,2008,Baseball,0,0,1,1
Mike Koplove,United States,2008,Baseball,0,0,1,1
Lee Seung-Yeop,South Korea,2008,Baseball,1,0,0,1
Alexander Mayeta,Cuba,2008,Baseball,0,1,0,1
Park Jin-Man,South Korea,2008,Baseball,1,0,0,1
Brendan Kingman,Australia,2004,Baseball,0,1,0,1
Pedro Luis Lazo,Cuba,2004,Baseball,1,0,0,1
Arihito Muramatsu,Japan,2004,Baseball,0,0,1,1
Norihiro Nakamura,Japan,2004,Baseball,0,0,1,1
Eduardo Paret,Cuba,2004,Baseball,1,0,0,1
Yoshitomo Tani,Japan,2004,Baseball,0,0,1,1
Gu Dae-Seong,South Korea,2000,Baseball,0,0,1,1
José Ibar,Cuba,2000,Baseball,0,1,0,1
Kim Gi-Tae,South Korea,2000,Baseball,0,0,1,1
Oscar Macias,Cuba,2000,Baseball,0,1,0,1
Ernie Young,United States,2000,Baseball,1,0,0,1
Adriana Araújo,Brazil,2012,Boxing,0,0,1,1
Zou Shiming,China,2012,Boxing,1,0,0,1
Mohamed El-Sayed,Egypt,2004,Boxing,0,0,1,1
Aleksandr Lebzyak,Russia,2000,Boxing,1,0,0,1
Steve Mesler,United States,2010,Bobsleigh,1,0,0,1
Heather Moyse,Canada,2010,Bobsleigh,1,0,0,1
Lascelles Brown,Canada,2006,Bobsleigh,0,1,0,1
Sandra Prokoff-Kiriasis,Germany,2006,Bobsleigh,1,0,0,1
Aleksandr Zubkov,Russia,2006,Bobsleigh,0,1,0,1
Steve Anderhub,Switzerland,2002,Bobsleigh,0,1,0,1
Björn Ferry,Sweden,2010,Biathlon,1,0,0,1
Raphaël Poirée,France,2006,Biathlon,0,0,1,1
Julien Robert,France,2006,Biathlon,0,0,1,1
Misty May-Treanor,United States,2008,Beach Volleyball,1,0,0,1
Emanuel,Brazil,2004,Beach Volleyball,1,0,0,1
Shelda,Brazil,2004,Beach Volleyball,0,1,0,1
Adriana Behar,Brazil,2000,Beach Volleyball,0,1,0,1
Eric Fonoimoana,United States,2000,Beach Volleyball,1,0,0,1
Axel Hager,Germany,2000,Beach Volleyball,0,0,1,1
Suzy Batkovic,Australia,2012,Basketball,0,0,1,1
Sue Bird,United States,2012,Basketball,1,0,0,1
Lauren Jackson,Australia,2012,Basketball,0,0,1,1
Asjha Jones,United States,2012,Basketball,1,0,0,1
Andrey Kirilenko,Russia,2012,Basketball,0,0,1,1
Belinda Snell,Australia,2012,Basketball,0,0,1,1
Manu Ginóbili,Argentina,2008,Basketball,0,0,1,1
Becky Hammon,Russia,2008,Basketball,0,0,1,1
Pablo Prigioni,Argentina,2008,Basketball,0,0,1,1
Oksana Rakhmatulina,Russia,2008,Basketball,0,0,1,1
Anna Arkhipova,Russia,2004,Basketball,0,0,1,1
Michele Mian,Italy,2004,Basketball,0,1,0,1
Fabricio Oberto,Argentina,2004,Basketball,1,0,0,1
Gianmarco Pozzecco,Italy,2004,Basketball,0,1,0,1
Nikola Radulovic,Italy,2004,Basketball,0,1,0,1
Thierry Gadou,France,2000,Basketball,0,1,0,1
Shelley Gorman-Sandie,Australia,2000,Basketball,0,1,0,1
Janeth,Brazil,2000,Basketball,0,0,1,1
Steve Smith,United States,2000,Basketball,1,0,0,1
Barbora Špotáková,Czech Republic,2012,Athletics,1,0,0,1
Vadim Devyatovsky,Belarus,2008,Athletics,0,1,0,1
Deena Drossin-Kastor,United States,2004,Athletics,0,0,1,1
Matt Hemingway,United States,2004,Athletics,0,1,0,1
Anastasia Kelesidou,Greece,2004,Athletics,0,1,0,1
Larisa Kruglova,Russia,2004,Athletics,0,1,0,1
Tim Mack,United States,2004,Athletics,1,0,0,1
Sergey Makarov,Russia,2004,Athletics,0,0,1,1
Aleksander Tammert,Estonia,2004,Athletics,0,0,1,1
Steve Backley,Great Britain,2000,Athletics,0,1,0,1
Sunday Bada,Nigeria,2000,Athletics,1,0,0,1
Nezha Bidouane,Morocco,2000,Athletics,0,0,1,1
Kenny Brokenburr,United States,2000,Athletics,1,0,0,1
Mark Crear,United States,2000,Athletics,0,0,1,1
Carl Oliver,Bahamas,2000,Athletics,0,0,1,1
Luis Alberto Pérez,Cuba,2000,Athletics,0,0,1,1
Fernanda Ribeiro,Portugal,2000,Athletics,0,0,1,1
Sandie Richards,Jamaica,2000,Athletics,0,1,0,1
Olga Shishigina,Kazakhstan,2000,Athletics,1,0,0,1
Paul Tergat,Kenya,2000,Athletics,0,1,0,1
Sandra Wagner-Sachse,Germany,2000,Archery,0,0,1,1
Jason Lezak,United States,2008,Swimming,2,0,1,3
Chris Hoy,Great Britain,2008,Cycling,3,0,0,3
Ole Einar Bjørndalen,Norway,2006,Biathlon,0,2,1,3
Carmelita Jeter,United States,2012,Athletics,1,1,1,3
Bode Miller,United States,2010,Alpine Skiing,1,1,1,3
Stephan Eberharter,Austria,2002,Alpine Skiing,1,1,1,3
Chad Hedrick,United States,2010,Speed Skating,0,1,1,2
Adam Malysz,Poland,2010,Ski Jumping,0,2,0,2
Jin Jong-O,South Korea,2012,Shooting,2,0,0,2
Mariya Grozdeva,Bulgaria,2004,Shooting,1,0,1,2
Georgeta Damian-Andrunache,Romania,2008,Rowing,1,0,1,2
Viorica Susanu,Romania,2008,Rowing,1,0,1,2
Laura Flessel-Colovic,France,2004,Fencing,0,1,1,2
Anky van Grunsven,Netherlands,2000,Equestrian,1,1,0,2
Olga Zabelinskaya,Russia,2012,Cycling,0,0,2,2
Jens Lehmann,Germany,2000,Cycling,1,1,0,2
Lukáš Bauer,Czech Republic,2010,Cross Country Skiing,0,0,2,2
Claudia Künzel-Nystad,Germany,2010,Cross Country Skiing,1,1,0,2
Katerina Neumannová,Czech Republic,2006,Cross Country Skiing,1,1,0,2
Christian Gille,Germany,2008,Canoeing,0,1,1,2
Katalin Kovács,Hungary,2008,Canoeing,1,1,0,2
Andreas Dittmer,Germany,2004,Canoeing,1,1,0,2
Knut Holmann,Norway,2000,Canoeing,2,0,0,2
Martin Annen,Switzerland,2006,Bobsleigh,0,0,2,2
André Lange,Germany,2006,Bobsleigh,2,0,0,2
Anna-Carin Olofsson-Zidek,Sweden,2006,Biathlon,1,1,0,2
Tatyana Lebedeva,Russia,2008,Athletics,0,2,0,2
Robert Korzeniowski,Poland,2000,Athletics,2,0,0,2
Michaela Dorfmeister,Austria,2006,Alpine Skiing,2,0,0,2
Park Gyeong-Mo,South Korea,2008,Archery,1,1,0,2
Karam Gaber,Egypt,2012,Wrestling,0,1,0,1
Giorgi Gogshelidze,Georgia,2012,Wrestling,0,0,1,1
Revaz Mindorashvili,Georgia,2008,Wrestling,1,0,0,1
Terry Brands,United States,2000,Wrestling,0,0,1,1
Pyrros Dimas,Greece,2004,Weightlifting,0,0,1,1
Giacomo Pastorino,Italy,2012,Waterpolo,0,1,0,1
Brenda Villa,United States,2012,Waterpolo,1,0,0,1
Ryan Bailey,United States,2008,Waterpolo,0,1,0,1
Layne Beaubien,United States,2008,Waterpolo,0,1,0,1
Péter Biros,Hungary,2008,Waterpolo,1,0,0,1
Tamás Kásás,Hungary,2008,Waterpolo,1,0,0,1
Alexandra Araujo,Italy,2004,Waterpolo,1,0,0,1
Dimitra Asilian,Greece,2004,Waterpolo,0,1,0,1
Tibor Benedek,Hungary,2004,Waterpolo,1,0,0,1
Francesca Conti,Italy,2004,Waterpolo,1,0,0,1
Nikolay Kozlov,Russia,2004,Waterpolo,0,0,1,1
Dmitry Dugin,Russia,2000,Waterpolo,0,1,0,1
Zoltán Kósz,Hungary,2000,Waterpolo,1,0,0,1
Andrea Bari,Italy,2012,Volleyball,0,0,1,1
Lindsey Berg,United States,2012,Volleyball,0,1,0,1
Fabi,Brazil,2012,Volleyball,1,0,0,1
Fernandinha,Brazil,2012,Volleyball,1,0,0,1
Robyn Ah Mow-Santos,United States,2008,Volleyball,0,1,0,1
Escadinha,Brazil,2008,Volleyball,0,1,0,1
Gabe Gardner,United States,2008,Volleyball,1,0,0,1
Gustavo,Brazil,2008,Volleyball,0,1,0,1
André Heller,Brazil,2008,Volleyball,0,1,0,1
Riley Salmon,United States,2008,Volleyball,1,0,0,1
Sergey Tetyukhin,Russia,2008,Volleyball,0,0,1,1
Valeskinha,Brazil,2008,Volleyball,1,0,0,1
Olga Nikolayeva,Russia,2004,Volleyball,0,1,0,1
Damiano Pippi,Italy,2004,Volleyball,0,1,0,1
Ju Se-Hyeok,South Korea,2012,Table Tennis,0,1,0,1
Wang Jue Gu,Singapore,2012,Table Tennis,0,0,1,1
Hadi Saei,Iran,2008,Taekwondo,1,0,0,1
Michaël Llodra,France,2012,Tennis,0,1,0,1
Venus Williams,United States,2012,Tennis,1,0,0,1
Conchita Martínez,Spain,2004,Tennis,0,1,0,1
Thomas Lurz,Germany,2012,Swimming,0,1,0,1
Adam Pine,Australia,2008,Swimming,0,1,0,1
Ippolito Sanfratello,Italy,2006,Speed Skating,1,0,0,1
Sabine Völker,Germany,2006,Speed Skating,1,0,0,1
Wang Manli,China,2006,Speed Skating,0,1,0,1
Sachiko Ito,Japan,2008,Softball,1,0,0,1
Natalie Titcume,Australia,2008,Softball,0,0,1,1
Natalie Ward,Australia,2008,Softball,0,0,1,1
Tanya Harding,Australia,2004,Softball,0,1,0,1
Yoshimi Kobayashi,Japan,2000,Softball,0,1,0,1
Naomi Matsumoto,Japan,2000,Softball,0,1,0,1
Martin Schmitt,Germany,2010,Ski Jumping,0,1,0,1
Kerstin Szymkowiak,Germany,2010,Skeleton,0,1,0,1
Nataliya Paderina,Russia,2008,Shooting,0,1,0,1
Sergey Martynov,Belarus,2000,Shooting,0,0,1,1
Mykola Milchev,Ukraine,2000,Shooting,1,0,0,1
Saskia Clark,Great Britain,2012,Sailing,0,1,0,1
Przemyslaw Miarczynski,Poland,2012,Sailing,0,0,1,1
Antón Paz,Spain,2008,Sailing,1,0,0,1
Iain Percy,Great Britain,2008,Sailing,1,0,0,1
Vasilij Žbogar,Slovenia,2008,Sailing,0,1,0,1
Carlos Espínola,Argentina,2004,Sailing,0,0,1,1
Pascal Rambeau,France,2004,Sailing,0,0,1,1
Mark Covell,Great Britain,2000,Sailing,0,1,0,1
Shirley Robertson,Great Britain,2000,Sailing,1,0,0,1
Hans-Peter Steinacher,Austria,2000,Sailing,1,0,0,1
Espen Stokkeland,Norway,2000,Sailing,0,0,1,1
James Chapman,Australia,2012,Rowing,0,1,0,1
Karsten Forsterling,Australia,2012,Rowing,0,0,1,1
Krista Guloien,Canada,2012,Rowing,0,1,0,1
Daniel Noonan,Australia,2012,Rowing,0,0,1,1
Brooke Pratley,Australia,2012,Rowing,0,1,0,1
Rasmus Quist,Denmark,2012,Rowing,1,0,0,1
Mary Whipple,United States,2012,Rowing,1,0,0,1
Katherine Grainger,Great Britain,2008,Rowing,0,1,0,1
Vasilios Polymeros,Greece,2008,Rowing,0,1,0,1
Brian Price,Canada,2008,Rowing,1,0,0,1
Dominic Seiterle,Canada,2008,Rowing,1,0,0,1
Olaf Tufte,Norway,2008,Rowing,1,0,0,1
Kirsten van der Kolk,Netherlands,2008,Rowing,1,0,0,1
Steve Williams,Great Britain,2008,Rowing,1,0,0,1
Cath Bishop,Great Britain,2004,Rowing,0,1,0,1
Chun Wei Cheung,Netherlands,2004,Rowing,0,1,0,1
Iztok Cop,Slovenia,2004,Rowing,0,1,0,1
James Cracknell,Great Britain,2004,Rowing,1,0,0,1
Eskild Ebbesen,Denmark,2004,Rowing,1,0,0,1
Rossano Galtarossa,Italy,2004,Rowing,0,0,1,1
Yekaterina Khodatovich-Karsten,Belarus,2004,Rowing,0,1,0,1
Lianne Nelson,United States,2004,Rowing,0,1,0,1
Angela Tamas-Alupei,Romania,2004,Rowing,1,0,0,1
Guin Batten,Great Britain,2000,Rowing,0,1,0,1
Victor Feddersen,Denmark,2000,Rowing,0,0,1,1
Andreas Hajek,Germany,2000,Rowing,0,0,1,1
Laurent Porchier,France,2000,Rowing,1,0,0,1
Jean-Christophe Rolland,France,2000,Rowing,1,0,0,1
Mario Stecher,Austria,2010,Nordic Combined,1,0,0,1
Patric Leitner,Germany,2010,Luge,0,0,1,1
Armin Zöggeler,Italy,2006,Luge,1,0,0,1
Sylke Otto,Germany,2002,Luge,1,0,0,1
An Kum-Ae,North Korea,2012,Judo,1,0,0,1
Ole Bischof,Germany,2012,Judo,0,1,0,1
Edith Bosch,Netherlands,2012,Judo,0,0,1,1
Aleksandr Mikhaylin,Russia,2012,Judo,0,1,0,1
Andreas Tölzer,Germany,2012,Judo,0,0,1,1
Sergei Aschwanden,Switzerland,2008,Judo,0,0,1,1
Ryoko Tamura-Tani,Japan,2008,Judo,0,0,1,1
Xian Dongmei,China,2008,Judo,1,0,0,1
Girolamo Giovinazzo,Italy,2000,Judo,0,0,1,1
Emanuela Pierantozzi,Italy,2000,Judo,0,0,1,1
Niklas Bäckström,Finland,2010,Ice Hockey,0,0,1,1
Jayna Hefford,Canada,2010,Ice Hockey,1,0,0,1
Jarome Iginla,Canada,2010,Ice Hockey,1,0,0,1
Toni Lydman,Finland,2010,Ice Hockey,0,0,1,1
Cassie Campbell,Canada,2006,Ice Hockey,1,0,0,1
Peter Forsberg,Sweden,2006,Ice Hockey,1,0,0,1
Niclas Hävelid,Sweden,2006,Ice Hockey,1,0,0,1
Milan Hnilicka,Czech Republic,2006,Ice Hockey,0,0,1,1
František Kaberle,Czech Republic,2006,Ice Hockey,0,0,1,1
Antti Laaksonen,Finland,2006,Ice Hockey,0,1,0,1
Jere Lehtinen,Finland,2006,Ice Hockey,0,1,0,1
Fredrik Norrena,Finland,2006,Ice Hockey,0,1,0,1
Ville Peltonen,Finland,2006,Ice Hockey,0,1,0,1
Jaroslav Špacek,Czech Republic,2006,Ice Hockey,0,0,1,1
Rob Blake,Canada,2002,Ice Hockey,1,0,0,1
Sergey Fyodorov,Russia,2002,Ice Hockey,0,0,1,1
John LeClair,United States,2002,Ice Hockey,0,1,0,1
Jeremy Roenick,United States,2002,Ice Hockey,0,1,0,1
Joe Sakic,Canada,2002,Ice Hockey,1,0,0,1
Kate Walsh,Great Britain,2012,Hockey,0,0,1,1
Mariana González,Argentina,2008,Hockey,0,0,1,1
Huang Junxia,China,2008,Hockey,0,1,0,1
Xavier Ribas,Spain,2008,Hockey,0,1,0,1
Tang Chunling,China,2008,Hockey,0,1,0,1
Christoph Bechmann,Germany,2004,Hockey,0,0,1,1
Denise Klecker,Germany,2004,Hockey,1,0,0,1
Florian Kunz,Germany,2004,Hockey,0,0,1,1
Macha van der Vaart,Netherlands,2004,Hockey,0,1,0,1
Jay Stacy,Australia,2000,Hockey,0,0,1,1
Wouter van Pelt,Netherlands,2000,Hockey,1,0,0,1
Michael York,Australia,2000,Hockey,0,0,1,1
Andrea Barno,Spain,2012,Handball,0,0,1,1
Karoline Dyhre Breivang,Norway,2012,Handball,1,0,0,1
Begoña Fernández,Spain,2012,Handball,0,0,1,1
Katrine Lunde Haraldsen,Norway,2012,Handball,1,0,0,1
Kristine Lunde-Borgersen,Norway,2012,Handball,1,0,0,1
Daniel Narcisse,France,2012,Handball,1,0,0,1
Bojana Popovic,Montenegro,2012,Handball,0,1,0,1
Guillaume Gille,France,2008,Handball,1,0,0,1
Heo Sun-Yeong,South Korea,2008,Handball,0,0,1,1
Daouda Karaboué,France,2008,Handball,1,0,0,1
Demetrio Lozano,Spain,2008,Handball,0,0,1,1
Oksana Romenskaya,Russia,2008,Handball,0,1,0,1
Slavko Goluža,Croatia,2004,Handball,1,0,0,1
Im O-Gyeong,South Korea,2004,Handball,0,1,0,1
Dmitry Torgovanov,Russia,2004,Handball,0,0,1,1
Larysa Zaspa,Ukraine,2004,Handball,0,0,1,1
Talant Duyshebayev,Spain,2000,Handball,0,0,1,1
Anikó Kántor,Hungary,2000,Handball,0,1,0,1
Janne Kolling,Denmark,2000,Handball,1,0,0,1
Lene Rantala,Denmark,2000,Handball,1,0,0,1
Judit Simics-Zsemberi,Hungary,2000,Handball,0,1,0,1
Tomas Svensson,Sweden,2000,Handball,0,1,0,1
Iñaki Urdangarín,Spain,2000,Handball,0,0,1,1
Karina LeBlanc,Canada,2012,Football,0,0,1,1
Carlos Salcido,Mexico,2012,Football,1,0,0,1
Abby Wambach,United States,2012,Football,1,0,0,1
Renate Lingor,Germany,2008,Football,0,0,1,1
Mia Hamm,United States,2004,Football,1,0,0,1
Silke Rottenberg,Germany,2004,Football,0,0,1,1
Briana Scurry,United States,2004,Football,1,0,0,1
Brandi Chastain,United States,2000,Football,0,1,0,1
Joy Fawcett,United States,2000,Football,0,1,0,1
Zhao Hongbo,China,2006,Figure Skating,0,0,1,1
Kari Traa,Norway,2006,Freestyle Skiing,0,1,0,1
Maya Lawrence,United States,2012,Fencing,0,0,1,1
Gianpiero Pastore,Italy,2008,Fencing,0,0,1,1
Salvatore Sanzo,Italy,2008,Fencing,0,0,1,1
Nelson Loyola,Cuba,2000,Fencing,0,0,1,1
Dmitry Shevchenko,Russia,2000,Fencing,0,0,1,1
Cian O'Connor,Ireland,2012,Equestrian,0,0,1,1
Frank Ostholt,Germany,2008,Equestrian,1,0,0,1
McLain Ward,United States,2008,Equestrian,1,0,0,1
Peder Fredricson,Sweden,2004,Equestrian,0,1,0,1
Cédric Lyard,France,2004,Equestrian,1,0,0,1
Troy Dumais,United States,2012,Diving,0,0,1,1
Georgia Gould,United States,2012,Cycling,0,0,1,1
Tara Whitten,Canada,2012,Cycling,0,0,1,1
Bradley Wiggins,Great Britain,2012,Cycling,1,0,0,1
Yoanka González,Cuba,2008,Cycling,0,1,0,1
Bobby Julich,United States,2004,Cycling,0,0,1,1
Shane Kelly,Australia,2004,Cycling,0,0,1,1
Axel Merckx,Belgium,2004,Cycling,0,0,1,1
Sabine Spitz,Germany,2004,Cycling,0,0,1,1
Karin Thürig,Switzerland,2004,Cycling,0,0,1,1
Susan O'Connor,Canada,2010,Curling,0,1,0,1
Teemu Salo,Finland,2006,Curling,0,1,0,1
Anna Svärd-Le Moine,Sweden,2006,Curling,1,0,0,1
Tobias Angerer,Germany,2010,Cross Country Skiing,0,1,0,1
Jirí Magál,Czech Republic,2010,Cross Country Skiing,0,0,1,1
Kristina Šmigun-Vähi,Estonia,2010,Cross Country Skiing,0,1,0,1
Anders Södergren,Sweden,2010,Cross Country Skiing,1,0,0,1
Tor-Arne Hetland,Norway,2006,Cross Country Skiing,0,1,0,1
Larisa Kurkina,Russia,2006,Cross Country Skiing,1,0,0,1
Gabriella Paruzzi,Italy,2002,Cross Country Skiing,1,0,0,1
Peter Schlickenrieder,Germany,2002,Cross Country Skiing,0,1,0,1
Krisztina Fazekas Zur,Hungary,2012,Canoeing,1,0,0,1
Pavol Hochschorner,Slovakia,2012,Canoeing,0,0,1,1
Peter Hochschorner,Slovakia,2012,Canoeing,0,0,1,1
Vadim Makhnyov,Belarus,2012,Canoeing,0,1,0,1
Eirik Verås Larsen,Norway,2008,Canoeing,0,1,0,1
Gábor Horváth,Hungary,2004,Canoeing,1,0,0,1
Elena Kaliská,Slovakia,2004,Canoeing,1,0,0,1
György Kolonics,Hungary,2004,Canoeing,0,0,1,1
Clint Robinson,Australia,2004,Canoeing,0,1,0,1
Beniamino Bonomi,Italy,2000,Canoeing,1,0,0,1
Štepánka Hilgertová,Czech Republic,2000,Canoeing,1,0,0,1
Imre Pulai,Hungary,2000,Canoeing,1,0,0,1
Kim Dong-Ju,South Korea,2008,Baseball,1,0,0,1
Brandon Knight,United States,2008,Baseball,0,0,1,1
Takuya Kimura,Japan,2004,Baseball,0,0,1,1
Kazuhiro Wada,Japan,2004,Baseball,0,0,1,1
Jeff Williams,Australia,2004,Baseball,0,1,0,1
Omar Linares,Cuba,2000,Baseball,0,1,0,1
Roberto Cammarelle,Italy,2012,Boxing,0,1,0,1
Kaeo Pongprayoon,Thailand,2012,Boxing,0,1,0,1
Félix Savón,Cuba,2000,Boxing,1,0,0,1
Thomas Florschütz,Germany,2010,Bobsleigh,0,1,0,1
Chris le Bihan,Canada,2010,Bobsleigh,0,0,1,1
Todd Hays,United States,2002,Bobsleigh,0,1,0,1
Garrett Hines,United States,2002,Bobsleigh,0,1,0,1
Randy Jones,United States,2002,Bobsleigh,0,1,0,1
Doug Sharp,United States,2002,Bobsleigh,0,0,1,1
Dan Steele,United States,2002,Bobsleigh,0,0,1,1
Andrea Henkel,Germany,2010,Biathlon,0,0,1,1
Pavol Hurajt,Slovakia,2010,Biathlon,0,0,1,1
Frode Andresen,Norway,2006,Biathlon,0,0,1,1
Katrin Apel,Germany,2006,Biathlon,0,1,0,1
Tomasz Sikora,Poland,2006,Biathlon,0,1,0,1
Halvard Hanevold,Norway,2002,Biathlon,1,0,0,1
Swin Cash,United States,2012,Basketball,1,0,0,1
Pau Gasol,Spain,2012,Basketball,0,1,0,1
Juan Carlos Navarro,Spain,2012,Basketball,0,1,0,1
Felipe Reyes,Spain,2012,Basketball,0,1,0,1
Carlos Jiménez,Spain,2008,Basketball,0,1,0,1
Yelena Baranova,Russia,2004,Basketball,0,0,1,1
Allison Cook-Tranquilli,Australia,2004,Basketball,0,1,0,1
Trish Fallon,Australia,2004,Basketball,0,1,0,1
Lisa Leslie,United States,2004,Basketball,1,0,0,1
Alejandro Ariel Montecchia,Argentina,2004,Basketball,1,0,0,1
Jim Bilba,France,2000,Basketball,0,1,0,1
Sandy Brondello,Australia,2000,Basketball,0,1,0,1
Gary Payton,United States,2000,Basketball,1,0,0,1
Rachael Sporn,Australia,2000,Basketball,0,1,0,1
Mathias Boe,Denmark,2012,Badminton,0,1,0,1
Cai Yun,China,2012,Badminton,1,0,0,1
Minarti Timur,Indonesia,2000,Badminton,0,1,0,1
Anastasiya Kapachinskaya,Russia,2012,Athletics,0,1,0,1
Sergey Kirdyapkin,Russia,2012,Athletics,1,0,0,1
Primož Kozmus,Slovenia,2012,Athletics,0,1,0,1
Pigi Devetzi,Greece,2008,Athletics,0,0,1,1
Iryna Lishchynska,Ukraine,2008,Athletics,0,1,0,1
Maurren Maggi,Brazil,2008,Athletics,1,0,0,1
Françoise Mbango,Cameroon,2008,Athletics,1,0,0,1
Andrey Mikhnevich,Belarus,2008,Athletics,0,0,1,1
Ivan Tikhon,Belarus,2008,Athletics,0,0,1,1
Zhang Wenxiu,China,2008,Athletics,0,0,1,1
Virgilijus Alekna,Lithuania,2004,Athletics,1,0,0,1
Danny McFarlane,Jamaica,2004,Athletics,0,1,0,1
Catherine Ndereba,Kenya,2004,Athletics,0,1,0,1
Steffi Nerius,Germany,2004,Athletics,0,1,0,1
Nataliya Sadova,Russia,2004,Athletics,1,0,0,1
Derartu Tulu,Ethiopia,2004,Athletics,0,0,1,1
Jon Drummond,United States,2000,Athletics,1,0,0,1
Brahim Lahlafi,Morocco,2000,Athletics,0,0,1,1
Javier Sotomayor,Cuba,2000,Athletics,0,1,0,1
Didier Défago,Switzerland,2010,Alpine Skiing,1,0,0,1
Joël Chenal,France,2006,Alpine Skiing,0,1,0,1
Alexandra Meissnitzer,Austria,2006,Alpine Skiing,0,0,1,1
Bair Badyonov,Russia,2008,Archery,0,0,1,1
Alison Williamson,Great Britain,2004,Archery,0,0,1,1
Olena Sadovnycha,Ukraine,2000,Archery,0,1,0,1
Dara Torres,United States,2000,Swimming,2,0,3,5
Stefania Belmondo,Italy,2002,Cross Country Skiing,1,1,1,3
Marleen Veldhuis,Netherlands,2012,Swimming,0,1,1,2
